contrast,estimate,iter
day Lichen - day openMove,-0.0283458825791063,4
day Lichen - night openMove,-0.167033987944523,4
night Lichen - day openMove,-0.0315058857907342,4
night Lichen - night openMove,-0.170193991156151,4
day openMove - night openMove,-0.138688105365417,4
day Forest - night Forest,-0.0259345583684709,5
day Forest - day Lichen,0.412126139176507,5
day Forest - night Lichen,0.27670100263489,5
day Forest - day openMove,0.293719534807473,5
day Forest - night openMove,0.22557321211909,5
night Forest - day Lichen,0.438060697544978,5
night Forest - night Lichen,0.302635561003361,5
night Forest - day openMove,0.319654093175944,5
night Forest - night openMove,0.251507770487561,5
day Lichen - night Lichen,-0.135425136541617,5
day Lichen - day openMove,-0.118406604369034,5
day Lichen - night openMove,-0.186552927057417,5
night Lichen - day openMove,0.0170185321725832,5
night Lichen - night openMove,-0.0511277905158001,5
day openMove - night openMove,-0.0681463226883833,5
day Forest - night Forest,0.0297442485123368,6
day Forest - day Lichen,0.327445436825097,6
day Forest - night Lichen,0.29296167443609,6
day Forest - day openMove,0.383828909810554,6
day Forest - night openMove,0.202003682917839,6
night Forest - day Lichen,0.29770118831276,6
night Forest - night Lichen,0.263217425923753,6
night Forest - day openMove,0.354084661298217,6
night Forest - night openMove,0.172259434405502,6
day Lichen - night Lichen,-0.034483762389007,6
day Lichen - day openMove,0.0563834729854573,6
day Lichen - night openMove,-0.125441753907258,6
night Lichen - day openMove,0.0908672353744643,6
night Lichen - night openMove,-0.0909579915182512,6
day openMove - night openMove,-0.181825226892716,6
day Forest - night Forest,0.11144412394935,7
day Forest - day Lichen,0.517755512332746,7
day Forest - night Lichen,0.415262120199709,7
day Forest - day openMove,0.524943597311345,7
day Forest - night openMove,0.447003359176435,7
night Forest - day Lichen,0.406311388383396,7
night Forest - night Lichen,0.303817996250358,7
night Forest - day openMove,0.413499473361994,7
night Forest - night openMove,0.335559235227084,7
day Lichen - night Lichen,-0.102493392133038,7
day Lichen - day openMove,0.00718808497859824,7
day Lichen - night openMove,-0.0707521531563116,7
night Lichen - day openMove,0.109681477111636,7
night Lichen - night openMove,0.0317412389767261,7
day openMove - night openMove,-0.0779402381349098,7
day Forest - night Forest,0.334779768792891,8
day Forest - day Lichen,0.623513533881631,8
day Forest - night Lichen,0.474842971533955,8
day Forest - day openMove,0.458354882714733,8
day Forest - night openMove,0.424423974876819,8
night Forest - day Lichen,0.28873376508874,8
night Forest - night Lichen,0.140063202741064,8
night Forest - day openMove,0.123575113921842,8
night Forest - night openMove,0.0896442060839278,8
day Lichen - night Lichen,-0.148670562347676,8
day Lichen - day openMove,-0.165158651166898,8
day Lichen - night openMove,-0.199089559004812,8
night Lichen - day openMove,-0.0164880888192221,8
night Lichen - night openMove,-0.0504189966571361,8
day openMove - night openMove,-0.033930907837914,8
day Forest - night Forest,-0.0456943811149027,9
day Forest - day Lichen,0.263852181822964,9
day Forest - night Lichen,0.133085261382772,9
day Forest - day openMove,0.228075595518815,9
day Forest - night openMove,0.117903593748746,9
night Forest - day Lichen,0.309546562937866,9
night Forest - night Lichen,0.178779642497675,9
night Forest - day openMove,0.273769976633718,9
night Forest - night openMove,0.163597974863649,9
day Lichen - night Lichen,-0.130766920440192,9
day Lichen - day openMove,-0.0357765863041488,9
day Lichen - night openMove,-0.145948588074218,9
night Lichen - day openMove,0.094990334136043,9
night Lichen - night openMove,-0.015181667634026,9
day openMove - night openMove,-0.110172001770069,9
day Forest - night Forest,0.18464243403638,10
day Forest - day Lichen,0.238770160624007,10
day Forest - night Lichen,0.241700255759642,10
day Forest - day openMove,0.190948929556272,10
day Forest - night openMove,0.10597829227742,10
night Forest - day Lichen,0.0541277265876276,10
night Forest - night Lichen,0.0570578217232618,10
night Forest - day openMove,0.00630649551989237,10
night Forest - night openMove,-0.0786641417589595,10
day Lichen - night Lichen,0.00293009513563422,10
day Lichen - day openMove,-0.0478212310677352,10
day Lichen - night openMove,-0.132791868346587,10
night Lichen - day openMove,-0.0507513262033694,10
night Lichen - night openMove,-0.135721963482221,10
day openMove - night openMove,-0.0849706372788518,10
day Forest - night Forest,-0.207170847078651,11
day Forest - day Lichen,0.0346551155554682,11
day Forest - night Lichen,0.116649557028077,11
day Forest - day openMove,0.123417932593919,11
day Forest - night openMove,0.0984494087209876,11
night Forest - day Lichen,0.24182596263412,11
night Forest - night Lichen,0.323820404106729,11
night Forest - day openMove,0.330588779672571,11
night Forest - night openMove,0.305620255799639,11
day Lichen - night Lichen,0.081994441472609,11
day Lichen - day openMove,0.0887628170384512,11
day Lichen - night openMove,0.0637942931655194,11
night Lichen - day openMove,0.00676837556584219,11
night Lichen - night openMove,-0.0182001483070896,11
day openMove - night openMove,-0.0249685238729318,11
day Forest - night Forest,0.139784140342693,12
day Forest - day Lichen,0.378080799314846,12
day Forest - night Lichen,0.462224753109247,12
day Forest - day openMove,0.317208942465639,12
day Forest - night openMove,0.37401241803261,12
night Forest - day Lichen,0.238296658972153,12
night Forest - night Lichen,0.322440612766554,12
night Forest - day openMove,0.177424802122946,12
night Forest - night openMove,0.234228277689917,12
day Lichen - night Lichen,0.0841439537944007,12
day Lichen - day openMove,-0.0608718568492072,12
day Lichen - night openMove,-0.00406838128223593,12
night Lichen - day openMove,-0.145015810643608,12
night Lichen - night openMove,-0.0882123350766366,12
day openMove - night openMove,0.0568034755669712,12
day Forest - night Forest,-0.199972042111233,13
day Forest - day Lichen,0.161602601532821,13
day Forest - night Lichen,0.102432526905622,13
day Forest - day openMove,0.0335454790685682,13
day Forest - night openMove,0.0575739506736719,13
night Forest - day Lichen,0.361574643644054,13
night Forest - night Lichen,0.302404569016856,13
night Forest - day openMove,0.233517521179801,13
night Forest - night openMove,0.257545992784905,13
day Lichen - night Lichen,-0.0591700746271987,13
day Lichen - day openMove,-0.128057122464253,13
day Lichen - night openMove,-0.104028650859149,13
night Lichen - day openMove,-0.0688870478370542,13
night Lichen - night openMove,-0.0448585762319506,13
day openMove - night openMove,0.0240284716051036,13
day Forest - night Forest,0.180853837665573,14
day Forest - day Lichen,0.438095545427477,14
day Forest - night Lichen,0.407266563382723,14
day Forest - day openMove,0.320818548113209,14
day Forest - night openMove,0.324527614141365,14
night Forest - day Lichen,0.257241707761904,14
night Forest - night Lichen,0.226412725717149,14
night Forest - day openMove,0.139964710447636,14
night Forest - night openMove,0.143673776475792,14
day Lichen - night Lichen,-0.0308289820447546,14
day Lichen - day openMove,-0.117276997314268,14
day Lichen - night openMove,-0.113567931286112,14
night Lichen - day openMove,-0.0864480152695135,14
night Lichen - night openMove,-0.0827389492413576,14
day openMove - night openMove,0.00370906602815593,14
day Forest - night Forest,0.117334518586222,15
day Forest - day Lichen,0.404719532238203,15
day Forest - night Lichen,0.374324432481288,15
day Forest - day openMove,0.399649067642579,15
day Forest - night openMove,0.307548453383743,15
night Forest - day Lichen,0.287385013651981,15
night Forest - night Lichen,0.256989913895065,15
night Forest - day openMove,0.282314549056357,15
night Forest - night openMove,0.190213934797521,15
day Lichen - night Lichen,-0.0303950997569155,15
day Lichen - day openMove,-0.00507046459562371,15
day Lichen - night openMove,-0.0971710788544603,15
night Lichen - day openMove,0.0253246351612918,15
night Lichen - night openMove,-0.0667759790975448,15
day openMove - night openMove,-0.0921006142588366,15
day Forest - night Forest,0.102884053414486,16
day Forest - day Lichen,0.252622733012089,16
day Forest - night Lichen,0.367816917645146,16
day Forest - day openMove,0.397524836201129,16
day Forest - night openMove,0.293245031518094,16
night Forest - day Lichen,0.149738679597603,16
night Forest - night Lichen,0.26493286423066,16
night Forest - day openMove,0.294640782786644,16
night Forest - night openMove,0.190360978103608,16
day Lichen - night Lichen,0.115194184633057,16
day Lichen - day openMove,0.144902103189041,16
day Lichen - night openMove,0.0406222985060052,16
night Lichen - day openMove,0.029707918555984,16
night Lichen - night openMove,-0.0745718861270514,16
day openMove - night openMove,-0.104279804683035,16
day Forest - night Forest,0.231557315990424,17
day Forest - day Lichen,0.326871340435279,17
day Forest - night Lichen,0.350977646780028,17
day Forest - day openMove,0.399581792306622,17
day Forest - night openMove,0.347409482272201,17
night Forest - day Lichen,0.0953140244448555,17
night Forest - night Lichen,0.119420330789605,17
night Forest - day openMove,0.168024476316198,17
night Forest - night openMove,0.115852166281778,17
day Lichen - night Lichen,0.0241063063447492,17
day Lichen - day openMove,0.0727104518713428,17
day Lichen - night openMove,0.0205381418369223,17
night Lichen - day openMove,0.0486041455265937,17
night Lichen - night openMove,-0.00356816450782688,17
day openMove - night openMove,-0.0521723100344206,17
day Forest - night Forest,-0.0716023045943783,18
day Forest - day Lichen,0.328641883913531,18
day Forest - night Lichen,0.251149551309674,18
day Forest - day openMove,0.397160453325454,18
day Forest - night openMove,0.222099019971857,18
night Forest - day Lichen,0.400244188507909,18
night Forest - night Lichen,0.322751855904052,18
night Forest - day openMove,0.468762757919832,18
night Forest - night openMove,0.293701324566236,18
day Lichen - night Lichen,-0.0774923326038571,18
day Lichen - day openMove,0.0685185694119235,18
day Lichen - night openMove,-0.106542863941673,18
night Lichen - day openMove,0.146010902015781,18
night Lichen - night openMove,-0.0290505313378162,18
day openMove - night openMove,-0.175061433353597,18
day Forest - night Forest,0.275076585656785,19
day Forest - day Lichen,0.426628840058165,19
day Forest - night Lichen,0.216469999054021,19
day Forest - day openMove,0.289078234889459,19
day Forest - night openMove,0.186374668785444,19
night Forest - day Lichen,0.151552254401379,19
night Forest - night Lichen,-0.0586065866027645,19
night Forest - day openMove,0.0140016492326738,19
night Forest - night openMove,-0.0887019168713414,19
day Lichen - night Lichen,-0.210158841004144,19
day Lichen - day openMove,-0.137550605168706,19
day Lichen - night openMove,-0.240254171272721,19
night Lichen - day openMove,0.0726082358354383,19
night Lichen - night openMove,-0.0300953302685769,19
day openMove - night openMove,-0.102703566104015,19
day Forest - night Forest,0.125355925444439,20
day Forest - day Lichen,0.302267460003979,20
day Forest - night Lichen,0.340680361972945,20
day Forest - day openMove,0.459801923960846,20
day Forest - night openMove,0.227322909593505,20
night Forest - day Lichen,0.17691153455954,20
night Forest - night Lichen,0.215324436528507,20
night Forest - day openMove,0.334445998516408,20
night Forest - night openMove,0.101966984149067,20
day Lichen - night Lichen,0.0384129019689662,20
day Lichen - day openMove,0.157534463956867,20
day Lichen - night openMove,-0.0749445504104739,20
night Lichen - day openMove,0.119121561987901,20
night Lichen - night openMove,-0.11335745237944,20
day openMove - night openMove,-0.232479014367341,20
day Forest - night Forest,0.46453923286792,21
day Forest - day Lichen,0.60701721129754,21
day Forest - night Lichen,0.495182280753016,21
day Forest - day openMove,0.533088582635748,21
day Forest - night openMove,0.543074761889451,21
night Forest - day Lichen,0.142477978429619,21
night Forest - night Lichen,0.0306430478850958,21
night Forest - day openMove,0.0685493497678274,21
night Forest - night openMove,0.0785355290215302,21
day Lichen - night Lichen,-0.111834930544524,21
day Lichen - day openMove,-0.073928628661792,21
day Lichen - night openMove,-0.0639424494080892,21
night Lichen - day openMove,0.0379063018827316,21
night Lichen - night openMove,0.0478924811364344,21
day openMove - night openMove,0.00998617925370277,21
day Forest - night Forest,0.024525084404076,22
day Forest - day Lichen,0.185409383349436,22
day Forest - night Lichen,0.166170209034,22
day Forest - day openMove,0.161346595562366,22
day Forest - night openMove,0.116054096916547,22
night Forest - day Lichen,0.16088429894536,22
night Forest - night Lichen,0.141645124629924,22
night Forest - day openMove,0.13682151115829,22
night Forest - night openMove,0.0915290125124714,22
day Lichen - night Lichen,-0.0192391743154362,22
day Lichen - day openMove,-0.02406278778707,22
day Lichen - night openMove,-0.0693552864328888,22
night Lichen - day openMove,-0.0048236134716338,22
night Lichen - night openMove,-0.0501161121174526,22
day openMove - night openMove,-0.0452924986458188,22
day Forest - night Forest,0.204235385996069,23
day Forest - day Lichen,0.383858609356939,23
day Forest - night Lichen,0.318032799062069,23
day Forest - day openMove,0.383123033321198,23
day Forest - night openMove,0.28593052653708,23
night Forest - day Lichen,0.179623223360871,23
night Forest - night Lichen,0.113797413066,23
night Forest - day openMove,0.178887647325129,23
night Forest - night openMove,0.0816951405410115,23
day Lichen - night Lichen,-0.0658258102948708,23
day Lichen - day openMove,-0.000735576035741703,23
day Lichen - night openMove,-0.097928082819859,23
night Lichen - day openMove,0.0650902342591291,23
night Lichen - night openMove,-0.0321022725249882,23
day openMove - night openMove,-0.0971925067841173,23
day Forest - night Forest,-0.0400351760060988,24
day Forest - day Lichen,0.266263275964721,24
day Forest - night Lichen,0.256721383608348,24
day Forest - day openMove,0.361329945809528,24
day Forest - night openMove,0.22149886592255,24
night Forest - day Lichen,0.30629845197082,24
night Forest - night Lichen,0.296756559614447,24
night Forest - day openMove,0.401365121815627,24
night Forest - night openMove,0.261534041928649,24
day Lichen - night Lichen,-0.00954189235637274,24
day Lichen - day openMove,0.095066669844807,24
day Lichen - night openMove,-0.0447644100421716,24
night Lichen - day openMove,0.10460856220118,24
night Lichen - night openMove,-0.0352225176857988,24
day openMove - night openMove,-0.139831079886979,24
day Forest - night Forest,-0.0823618785212867,25
day Forest - day Lichen,0.302385218666467,25
day Forest - night Lichen,0.330680396641791,25
day Forest - day openMove,0.455646891220925,25
day Forest - night openMove,0.380532427629656,25
night Forest - day Lichen,0.384747097187753,25
night Forest - night Lichen,0.413042275163078,25
night Forest - day openMove,0.538008769742211,25
night Forest - night openMove,0.462894306150943,25
day Lichen - night Lichen,0.0282951779753248,25
day Lichen - day openMove,0.153261672554458,25
day Lichen - night openMove,0.0781472089631896,25
night Lichen - day openMove,0.124966494579133,25
night Lichen - night openMove,0.0498520309878648,25
day openMove - night openMove,-0.0751144635912682,25
day Forest - night Forest,0.14609236080582,26
day Forest - day Lichen,0.503382121553653,26
day Forest - night Lichen,0.424277603470142,26
day Forest - day openMove,0.509953809191747,26
day Forest - night openMove,0.380855067211049,26
night Forest - day Lichen,0.357289760747834,26
night Forest - night Lichen,0.278185242664323,26
night Forest - day openMove,0.363861448385927,26
night Forest - night openMove,0.234762706405229,26
day Lichen - night Lichen,-0.0791045180835111,26
day Lichen - day openMove,0.00657168763809313,26
day Lichen - night openMove,-0.122527054342604,26
night Lichen - day openMove,0.0856762057216042,26
night Lichen - night openMove,-0.0434225362590932,26
day openMove - night openMove,-0.129098741980697,26
day Forest - night Forest,0.0774922496252543,27
day Forest - day Lichen,0.327580206220576,27
day Forest - night Lichen,0.292693260498307,27
day Forest - day openMove,0.191891365381453,27
day Forest - night openMove,0.152001207750851,27
night Forest - day Lichen,0.250087956595322,27
night Forest - night Lichen,0.215201010873053,27
night Forest - day openMove,0.114399115756199,27
night Forest - night openMove,0.0745089581255967,27
day Lichen - night Lichen,-0.0348869457222688,27
day Lichen - day openMove,-0.135688840839123,27
day Lichen - night openMove,-0.175578998469725,27
night Lichen - day openMove,-0.100801895116854,27
night Lichen - night openMove,-0.140692052747456,27
day openMove - night openMove,-0.0398901576306023,27
day Forest - night Forest,-0.271789281339374,28
day Forest - day Lichen,0.186006395897799,28
day Forest - night Lichen,0.226451917692889,28
day Forest - day openMove,0.317093468919197,28
day Forest - night openMove,0.23469925377982,28
night Forest - day Lichen,0.457795677237173,28
night Forest - night Lichen,0.498241199032263,28
night Forest - day openMove,0.588882750258571,28
night Forest - night openMove,0.506488535119194,28
day Lichen - night Lichen,0.04044552179509,28
day Lichen - day openMove,0.131087073021398,28
day Lichen - night openMove,0.048692857882021,28
night Lichen - day openMove,0.0906415512263083,28
night Lichen - night openMove,0.00824733608693101,28
day openMove - night openMove,-0.0823942151393772,28
day Forest - night Forest,-0.144652468063007,29
day Forest - day Lichen,0.105664512234063,29
day Forest - night Lichen,0.146532271863642,29
day Forest - day openMove,0.186333695472679,29
day Forest - night openMove,0.0749967585128455,29
night Forest - day Lichen,0.25031698029707,29
night Forest - night Lichen,0.291184739926649,29
night Forest - day openMove,0.330986163535687,29
night Forest - night openMove,0.219649226575853,29
day Lichen - night Lichen,0.040867759629579,29
day Lichen - day openMove,0.0806691832386167,29
day Lichen - night openMove,-0.0306677537212171,29
night Lichen - day openMove,0.0398014236090377,29
night Lichen - night openMove,-0.0715355133507961,29
day openMove - night openMove,-0.111336936959834,29
day Forest - night Forest,0.124325166562637,30
day Forest - day Lichen,0.36854809689327,30
day Forest - night Lichen,0.246496464985949,30
day Forest - day openMove,0.345365532862559,30
day Forest - night openMove,0.302594615444806,30
night Forest - day Lichen,0.244222930330633,30
night Forest - night Lichen,0.122171298423312,30
night Forest - day openMove,0.221040366299922,30
night Forest - night openMove,0.178269448882169,30
day Lichen - night Lichen,-0.122051631907321,30
day Lichen - day openMove,-0.023182564030711,30
day Lichen - night openMove,-0.0659534814484633,30
night Lichen - day openMove,0.09886906787661,30
night Lichen - night openMove,0.0560981504588576,30
day openMove - night openMove,-0.0427709174177523,30
day Forest - night Forest,0.143507156818965,31
day Forest - day Lichen,0.379224905290253,31
day Forest - night Lichen,0.347626335648471,31
day Forest - day openMove,0.406939284021504,31
day Forest - night openMove,0.22140557323111,31
night Forest - day Lichen,0.235717748471289,31
night Forest - night Lichen,0.204119178829506,31
night Forest - day openMove,0.263432127202539,31
night Forest - night openMove,0.0778984164121448,31
day Lichen - night Lichen,-0.0315985696417823,31
day Lichen - day openMove,0.0277143787312502,31
day Lichen - night openMove,-0.157819332059144,31
night Lichen - day openMove,0.0593129483730325,31
night Lichen - night openMove,-0.126220762417361,31
day openMove - night openMove,-0.185533710790394,31
day Forest - night Forest,0.0647218174077057,32
day Forest - day Lichen,0.289505516518358,32
day Forest - night Lichen,0.261959207793007,32
day Forest - day openMove,0.306142983486258,32
day Forest - night openMove,0.225566364514497,32
night Forest - day Lichen,0.224783699110653,32
night Forest - night Lichen,0.197237390385301,32
night Forest - day openMove,0.241421166078552,32
night Forest - night openMove,0.160844547106791,32
day Lichen - night Lichen,-0.0275463087253517,32
day Lichen - day openMove,0.0166374669678998,32
day Lichen - night openMove,-0.0639391520038615,32
night Lichen - day openMove,0.0441837756932515,32
night Lichen - night openMove,-0.0363928432785098,32
day openMove - night openMove,-0.0805766189717613,32
day Forest - night Forest,-0.0487966162369437,33
day Forest - day Lichen,0.235556908535481,33
day Forest - night Lichen,0.204107915249186,33
day Forest - day openMove,0.277629731978257,33
day Forest - night openMove,0.193854549816676,33
night Forest - day Lichen,0.284353524772425,33
night Forest - night Lichen,0.25290453148613,33
night Forest - day openMove,0.326426348215201,33
night Forest - night openMove,0.24265116605362,33
day Lichen - night Lichen,-0.0314489932862948,33
day Lichen - day openMove,0.0420728234427763,33
day Lichen - night openMove,-0.041702358718805,33
night Lichen - day openMove,0.0735218167290711,33
night Lichen - night openMove,-0.0102533654325102,33
day openMove - night openMove,-0.0837751821615814,33
day Forest - night Forest,-0.188564800638636,34
day Forest - day Lichen,0.312162578435584,34
day Forest - night Lichen,0.260868666123159,34
day Forest - day openMove,0.436542879947446,34
day Forest - night openMove,0.275644029133198,34
night Forest - day Lichen,0.50072737907422,34
night Forest - night Lichen,0.449433466761795,34
night Forest - day openMove,0.625107680586083,34
night Forest - night openMove,0.464208829771835,34
day Lichen - night Lichen,-0.0512939123124248,34
day Lichen - day openMove,0.124380301511862,34
day Lichen - night openMove,-0.0365185493023856,34
night Lichen - day openMove,0.175674213824287,34
night Lichen - night openMove,0.0147753630100392,34
day openMove - night openMove,-0.160898850814248,34
day Forest - night Forest,-0.0118076463309686,35
day Forest - day Lichen,0.332908979054944,35
day Forest - night Lichen,0.238015552046525,35
day Forest - day openMove,0.315853030164651,35
day Forest - night openMove,0.193920724367833,35
night Forest - day Lichen,0.344716625385913,35
night Forest - night Lichen,0.249823198377494,35
night Forest - day openMove,0.32766067649562,35
night Forest - night openMove,0.205728370698801,35
day Lichen - night Lichen,-0.0948934270084187,35
day Lichen - day openMove,-0.0170559488902928,35
day Lichen - night openMove,-0.138988254687111,35
night Lichen - day openMove,0.0778374781181259,35
night Lichen - night openMove,-0.0440948276786927,35
day openMove - night openMove,-0.121932305796819,35
day Forest - night Forest,-0.0546348340386083,36
day Forest - day Lichen,0.0779290882236828,36
day Forest - night Lichen,-0.00490276847907945,36
day Forest - day openMove,-0.0134494324939115,36
day Forest - night openMove,-0.10293741788694,36
night Forest - day Lichen,0.132563922262291,36
night Forest - night Lichen,0.0497320655595289,36
night Forest - day openMove,0.0411854015446969,36
night Forest - night openMove,-0.0483025838483313,36
day Lichen - night Lichen,-0.0828318567027622,36
day Lichen - day openMove,-0.0913785207175942,36
day Lichen - night openMove,-0.180866506110622,36
night Lichen - day openMove,-0.008546664014832,36
night Lichen - night openMove,-0.0980346494078602,36
day openMove - night openMove,-0.0894879853930282,36
day Forest - night Forest,0.101731165234168,37
day Forest - day Lichen,0.404820786334523,37
day Forest - night Lichen,0.436277628431377,37
day Forest - day openMove,0.342355182744114,37
day Forest - night openMove,0.285347085755017,37
night Forest - day Lichen,0.303089621100354,37
night Forest - night Lichen,0.334546463197209,37
night Forest - day openMove,0.240624017509946,37
night Forest - night openMove,0.183615920520849,37
day Lichen - night Lichen,0.0314568420968544,37
day Lichen - day openMove,-0.0624656035904087,37
day Lichen - night openMove,-0.119473700579506,37
night Lichen - day openMove,-0.0939224456872631,37
night Lichen - night openMove,-0.15093054267636,37
day openMove - night openMove,-0.0570080969890969,37
day Forest - night Forest,-0.0128508598132078,38
day Forest - day Lichen,0.307627590222986,38
day Forest - night Lichen,0.222479766017834,38
day Forest - day openMove,0.226414498323488,38
day Forest - night openMove,0.147204924699386,38
night Forest - day Lichen,0.320478450036193,38
night Forest - night Lichen,0.235330625831042,38
night Forest - day openMove,0.239265358136695,38
night Forest - night openMove,0.160055784512594,38
day Lichen - night Lichen,-0.0851478242051517,38
day Lichen - day openMove,-0.0812130918994981,38
day Lichen - night openMove,-0.1604226655236,38
night Lichen - day openMove,0.00393473230565368,38
night Lichen - night openMove,-0.0752748413184478,38
day openMove - night openMove,-0.0792095736241015,38
day Forest - night Forest,-0.0119000619845288,39
day Forest - day Lichen,0.45752595200879,39
day Forest - night Lichen,0.484125278610266,39
day Forest - day openMove,0.576629840224521,39
day Forest - night openMove,0.460355047142205,39
night Forest - day Lichen,0.469426013993319,39
night Forest - night Lichen,0.496025340594795,39
night Forest - day openMove,0.58852990220905,39
night Forest - night openMove,0.472255109126733,39
day Lichen - night Lichen,0.0265993266014758,39
day Lichen - day openMove,0.119103888215731,39
day Lichen - night openMove,0.00282909513341443,39
night Lichen - day openMove,0.0925045616142551,39
night Lichen - night openMove,-0.0237702314680614,39
day openMove - night openMove,-0.116274793082316,39
day Forest - night Forest,0.282630496628397,40
day Forest - day Lichen,0.337218574633885,40
day Forest - night Lichen,0.331138651728351,40
day Forest - day openMove,0.293328607561481,40
day Forest - night openMove,0.242509540016998,40
night Forest - day Lichen,0.0545880780054871,40
night Forest - night Lichen,0.0485081550999531,40
night Forest - day openMove,0.0106981109330836,40
night Forest - night openMove,-0.0401209566113995,40
day Lichen - night Lichen,-0.006079922905534,40
day Lichen - day openMove,-0.0438899670724035,40
day Lichen - night openMove,-0.0947090346168866,40
night Lichen - day openMove,-0.0378100441668695,40
night Lichen - night openMove,-0.0886291117113526,40
day openMove - night openMove,-0.0508190675444831,40
day Forest - night Forest,0.147914548861409,41
day Forest - day Lichen,0.485645303978216,41
day Forest - night Lichen,0.459209635272585,41
day Forest - day openMove,0.427110022540468,41
day Forest - night openMove,0.306670651099695,41
night Forest - day Lichen,0.337730755116807,41
night Forest - night Lichen,0.311295086411176,41
night Forest - day openMove,0.27919547367906,41
night Forest - night openMove,0.158756102238286,41
day Lichen - night Lichen,-0.0264356687056311,41
day Lichen - day openMove,-0.0585352814377473,41
day Lichen - night openMove,-0.178974652878521,41
night Lichen - day openMove,-0.0320996127321162,41
night Lichen - night openMove,-0.15253898417289,41
day openMove - night openMove,-0.120439371440774,41
day Forest - night Forest,0.240225648985068,42
day Forest - day Lichen,0.310975170432768,42
day Forest - night Lichen,0.202713958737385,42
day Forest - day openMove,0.271044902533316,42
day Forest - night openMove,0.062797984302208,42
night Forest - day Lichen,0.0707495214477008,42
night Forest - night Lichen,-0.0375116902476828,42
night Forest - day openMove,0.0308192535482487,42
night Forest - night openMove,-0.17742766468286,42
day Lichen - night Lichen,-0.108261211695384,42
day Lichen - day openMove,-0.0399302678994521,42
day Lichen - night openMove,-0.24817718613056,42
night Lichen - day openMove,0.0683309437959314,42
night Lichen - night openMove,-0.139915974435177,42
day openMove - night openMove,-0.208246918231108,42
day Forest - night Forest,0.306858313208785,43
day Forest - day Lichen,0.401162678212241,43
day Forest - night Lichen,0.263467716296932,43
day Forest - day openMove,0.349545675492299,43
day Forest - night openMove,0.25887681860524,43
night Forest - day Lichen,0.0943043650034553,43
night Forest - night Lichen,-0.0433905969118533,43
night Forest - day openMove,0.0426873622835142,43
night Forest - night openMove,-0.0479814946035449,43
day Lichen - night Lichen,-0.137694961915309,43
day Lichen - day openMove,-0.0516170027199411,43
day Lichen - night openMove,-0.142285859607,43
night Lichen - day openMove,0.0860779591953675,43
night Lichen - night openMove,-0.00459089769169163,43
day openMove - night openMove,-0.0906688568870591,43
day Forest - night Forest,0.379406199144883,44
day Forest - day Lichen,0.329350191826886,44
day Forest - night Lichen,0.191532925497568,44
day Forest - day openMove,0.376111758508556,44
day Forest - night openMove,0.251365155816427,44
night Forest - day Lichen,-0.0500560073179974,44
night Forest - night Lichen,-0.187873273647315,44
night Forest - day openMove,-0.003294440636327,44
night Forest - night openMove,-0.128041043328456,44
day Lichen - night Lichen,-0.137817266329318,44
